BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > cointiger | profit: 0.3470137395944448 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > coss | profit: 0.4240806255526479 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | exmo > hitbtc > kraken | profit: 0.744696002223904 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | exmo > bittrex > kraken | profit: 0.48638553815520424 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | exmo > poloniex > kraken | profit: 0.2452432688045434 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | exmo > hitbtc > kraken | profit: 0.5736670502291901 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | exmo > binance > kraken | profit: 0.9863439296185277 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | exmo > kucoin > kraken | profit: 0.8849841549401134 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > bittrex | profit: 0.9082220878655107 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > kraken | profit: 0.7340646117175567 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > poloniex | profit: 0.8233151119642201 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > hitbtc | profit: 0.84116521201355 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > binance | profit: 0.7995149785650995 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > kucoin | profit: 0.8292651453139683 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > gateio | profit: 0.716214511668241 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > livecoin | profit: 0.46036307762783224 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > exmo | profit: 0.7638147784664397 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > cointiger | profit: 0.716214511668241 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > coss | profit: 0.7935649452153228 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > bittrex > kraken | profit: 0.5792660925620083 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > poloniex > kraken | profit: 0.8894417172078164 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > hitbtc > kraken | profit: 0.684795761759645 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > binance > kraken | profit: 1.1427943340825664 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > kucoin > kraken | profit: 1.1042631812058374 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > gateio > kraken | profit: 0.8856933472086865 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > cointiger > kraken | profit: 0.8582588020800017 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | cointiger > hitbtc > kraken | profit: 0.9537851523674306 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > bittrex | profit: 1.225371580684893 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > kraken | profit: 1.0506667363038389 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > poloniex | profit: 1.1401977464068835 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > hitbtc | profit: 1.1581039484274953 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > binance | profit: 1.1163228103794012 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > kucoin | profit: 1.14616648041374 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > gateio | profit: 1.0327605342832271 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > livecoin | profit: 0.7761049719878201 %
